Date,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0027.HK,0066.HK,0101.HK,0175.HK,0241.HK,0267.HK,0291.HK,0316.HK,0322.HK,0386.HK,0388.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0868.HK,0881.HK,0883.HK,0939.HK,0941.HK,0960.HK,0981.HK,0992.HK,1038.HK,1044.HK,1088.HK,1093.HK,1109.HK,1177.HK,1211.HK,1299.HK,1378.HK,1398.HK,1928.HK,1929.HK,2007.HK,2020.HK,2313.HK,2318.HK,2319.HK,2331.HK,2382.HK,2388.HK,2628.HK,2688.HK,3968.HK,3988.HK
2013-01-14 00:00:00+08:00,57.03405099490267,42.846758038703996,7.76622167838642,52.27079054492829,32.65623051925688,79.6923599243164,19.906392061089555,79.42482062983274,30.79501751462278,28.937454711086225,21.092290447888125,20.85578840393209,3.6011477156774423,0.512499988079071,8.514519086420758,11.972181936696481,27.32531180133008,16.153325269711324,3.541653014034517,115.23343943506953,12.518687515845812,17.007481595861183,49.636935771339054,9.806077625132932,26.37056176792928,7.272449472324132,2.9271150435446924,10.200490145635936,8.690528947838994,3.673944306766037,55.301195976334405,10.693873585283601,4.799999952316284,4.91183645786452,31.83526180495425,50.142671056447824,12.607661254056602,1.2188374197329621,16.513935505042696,1.026616103684851,25.437992611692124,26.242073246440285,2.4232784173710438,3.250159395782004,24.580171392124605,8.030623360494484,2.2189356904166067,6.588589308186716,14.754599664402601,26.964073477501138,10.960010941038568,5.374374157075022,4.702214942163202,16.53935673141833,20.434243995452597,29.014752142030098,11.929777359787597,1.960065849547668
2013-01-15 00:00:00+08:00,57.349152338878916,42.84676368761946,7.77538349063625,52.08543871775943,32.66865819232512,79.6923599243164,20.018323447323432,79.00747015057942,31.194660410538184,29.139501425500868,21.159782181122278,20.721017047238462,3.5574976786352313,0.5099999904632568,8.559878425440257,12.038509558324701,27.350188842563092,16.095914052602893,3.5128286865280707,117.19988589212682,12.466709269934771,17.024504958039657,49.734142016066755,9.776225778076874,26.85641648297117,7.265784740447998,2.9271161448688425,10.165734012085323,8.658541095253877,3.699339466552088,54.83907800699621,10.49104601178948,4.799999952316284,4.899060964490101,31.734582773776907,49.99205755327728,12.674876426484559,1.2166135345437958,16.729335431293023,1.0319770292589223,26.095873389590388,26.502760832267953,2.3874393165501484,3.2641569710884717,24.973583827923118,8.112439495802196,2.2189357788246733,6.73209521009576,14.67667554576701,27.260059291520058,10.971570272527156,5.489476131596305,4.752239854917997,16.864938735961914,20.761962434017704,29.16420201491738,12.31745983665692,1.968044128044312
2013-01-16 00:00:00+08:00,57.79931285412434,42.74806831996324,7.76622167838642,52.14720656747849,32.68107652820699,79.6923529578738,20.13886476440948,79.39270453807991,31.083647028519707,29.004802825365005,21.126036099996405,20.367242726139587,3.5662273726336853,0.5024999976158142,8.430282063103558,11.994288935954515,27.337750033934643,16.076770509800085,3.478237398462491,117.04257949295635,12.847898940275474,16.837232442577726,51.25067461744279,9.58219380535059,26.990450936328262,7.265782706212779,2.8665351272460553,9.939829824762036,8.583895164698767,3.6795873023884837,54.03805076268222,10.435093760126982,4.799999952316284,4.8990618629697895,31.751353590537946,49.37279352802041,12.511640918309086,1.2232862621192657,16.47803497314453,1.031976724794612,25.949678390172203,26.2638031044925,2.359870802868138,3.2445607394965177,24.888053650786482,8.150202203240234,2.2216101162870805,6.76586193260611,14.624723939604122,27.12192648596159,10.902202544833287,5.5248923945792185,4.806810996090708,16.783539393406667,20.472798766784592,29.100152767486307,12.201834678649902,1.957406197335767
2013-01-17 00:00:00+08:00,59.19477024178115,42.76452270721164,7.775379973714694,52.363460327057204,32.5692914346825,79.52493900010566,20.37994657103851,81.0620998200916,31.416683555339233,29.296642508873575,21.159784339545546,20.316703949061903,3.583687622192083,0.4975000023841858,8.326602822389045,12.00534264687606,27.362624390484534,16.191607284418296,3.4609430257686453,117.59317070365752,13.281071590745311,16.939379542741882,51.736732794641135,9.679210229952943,26.822908952739382,7.285780413849181,2.8389993508286366,9.948518966451454,8.599892068415315,3.6795873023884837,53.63755679328153,10.379142951775783,4.950000047683716,4.908642829325344,31.768143186739767,49.22217201310997,12.482834083340627,1.2321823579581785,16.190830915448124,1.0105331580551915,25.65728598771089,26.155181587389592,2.3515997980012155,3.2473603775949567,25.12753856431894,8.143910568743511,2.1948753639682064,6.926249377401174,14.373616699163351,27.200859491752432,11.087181665220083,5.586870042939997,4.752240088425368,16.70214815544465,20.318579807016555,29.399050199907784,12.269849855417135,1.9600654411320595
2013-01-18 00:00:00+08:00,58.94717805748571,42.73162329832333,7.793700053233131,52.71873788355857,32.58171056801207,79.75929799909603,20.491873836586073,81.60786582070627,31.549898946567026,29.835440676995056,21.12603824134187,20.35039837469649,3.605512253307552,0.5024999976158142,8.36548271285892,12.038507491954663,27.387497517197424,16.229886590169503,3.5128285037920377,117.67184769358371,13.896177832438838,16.99045635689869,52.53388690392645,9.761300002281132,26.83966557331339,7.399099891339656,2.8692896462740323,9.9832737273577,8.669201271284212,3.727557178539958,53.791583428735635,10.484051141361748,4.875,4.927805138705988,31.66744820076603,49.54016876220703,12.63646829921938,1.2566483280308005,16.460086472693035,1.018574657830854,25.73038154346591,25.872773556716986,2.3543572180128294,3.3089475843391103,25.58937200258593,8.21942947166035,2.1922017646976526,7.162610331932308,14.546794551838271,27.35871804599492,11.075620848138659,5.834781721450032,4.8977622360414195,16.799817724343455,20.434243443399964,29.719300832097275,12.453490822977248,1.991979812403505
2013-01-21 00:00:00+08:00,58.474527854267805,42.715174402662186,7.784540503384535,52.67239805903917,32.6934991217409,79.96021713230024,20.379941696581874,82.60307830899416,31.9939439956976,30.48647571179456,21.058537371262908,20.400935564529313,3.6666230775098656,0.5199999809265137,8.430280746638449,12.038511108765722,28.04668806748645,16.076768935124985,3.551261718306274,117.12124652299764,13.766224920016043,16.85425935453128,52.592199123674035,9.68667153482114,26.87317562872086,7.392436229332036,2.924361668036917,9.7921227775734,8.64787762371805,3.736022710800171,54.03805799922843,10.512028190487552,4.825000047683716,4.978903157204446,31.734575741142482,49.89163923537253,12.636468958923807,1.2900106766267971,16.65753486824303,1.0158938458240154,26.168967412942653,25.612092705009065,2.415007982579226,3.3117477662185477,25.709104206976562,8.257192083565723,2.192201406473252,6.993780102291147,14.451545352176986,27.437647203456457,10.948448236157478,6.078267406209532,5.197904113205395,16.91377444054412,20.549909233349666,30.338451118470296,12.58951935347194,1.9972987939584868
2013-01-22 00:00:00+08:00,58.22693667287809,42.76451873779297,7.784538269042969,52.7805180268048,32.73075752660918,80.16113373964063,20.371332390707785,82.6673050789866,32.1271674176549,30.95791103062895,21.109164022772188,20.266166592812283,3.7582886041898456,0.5199999809265137,8.456200418780945,12.071675063890604,28.071563748200624,16.210746481286698,3.5743218019373963,116.72796890625231,13.549640701344316,16.820213844888443,52.24224603934452,9.656821686105372,26.8396657374457,7.445761505972056,2.894071600167381,9.766058251121256,8.610554000017334,3.7416659976146365,53.48350714644219,10.456076691035888,4.924999952316284,4.9214169069232145,31.701012450009735,50.20962067322607,12.722889094513196,1.2677688735658421,16.729334800751218,1.0373377657301655,25.925309348754777,25.91622361934478,2.4370626066151226,3.3061482548236665,25.93147092090551,8.339008214933264,2.1734880647447086,6.854496002197266,15.083639579293276,27.74350119241788,11.017813430036998,5.958737942584486,5.402546140607307,16.93005398708444,20.60774124033139,31.128410471285925,12.691540775546486,1.9972987602931884
2013-01-23 00:00:00+08:00,57.776789542834194,42.81386840170937,7.802854373611831,52.5488172373577,32.71834550170698,81.13214577498468,20.11303856285893,82.82779761882144,32.39359411852967,31.047718294755516,21.12603824134187,20.283007611791255,3.745193637981928,0.554999977350235,8.482119797647588,12.060618901526853,28.245692123474647,16.53610724804624,3.5627914835468584,116.25599670410156,13.71424559115611,16.598895078546295,52.475555065328216,9.723985672409547,26.88992922306061,7.412431908108788,2.8362453613203997,9.618349270901998,8.594558123852888,3.7585963286848125,53.498916527892135,10.358159849133495,4.950000047683716,5.02041976069174,31.768140312632717,50.42720428496551,12.64607135788839,1.2811142206192017,16.549834276574973,1.0199146671509325,25.803480268732457,26.437586584865677,2.4094940298995526,3.3313432813744948,26.22226634778678,8.187963301908606,2.141406799137614,6.626576421220354,15.326084499116371,27.644834920332606,10.960009258206806,5.675409655709718,5.511688736907338,17.22307537185765,20.569187263253614,31.918365687779193,12.800363907371255,2.002617726230013
2013-01-24 00:00:00+08:00,57.91184528710957,42.96190146470606,7.866963225320528,52.68784500721499,32.78044690290061,82.50501693669273,19.932221842226458,82.6030693234371,32.793240486921604,31.384454786259298,20.991043545708713,20.097699696514578,3.688448305682476,0.6099999845027924,8.35900216233879,12.038507606515157,27.661126402940305,16.59352414006886,3.5358877017303803,116.41331241856446,13.913504004034262,16.20733090587441,52.417232312670144,9.57473076473373,26.672129473634687,7.42576242685929,2.8417525692377845,9.931140714067617,8.455937342410282,3.7557746295718992,52.77491696528291,10.30220654430326,4.900000095367432,5.237588401318431,31.751358990166747,50.008796012866995,12.588456882524625,1.2766657371883983,16.334432346511274,1.0467193209459793,25.852211856344134,26.676548185767224,2.34884309534694,3.320145499600847,26.46173462875567,8.112438782509216,2.1093261687925295,6.301577587979413,15.559868816483636,27.54617584848731,10.809713742626446,5.498330593109131,5.725425634886598,17.337026892967945,20.49207621674281,31.72621606519425,12.718746398427022,2.01059627532959
2013-01-25 00:00:00+08:00,58.27195904242941,42.92900100969716,7.88528044718344,53.25935287426819,32.85498137836039,82.90681613554072,20.052759171275582,83.24515877748419,33.126288477106435,31.092612265204835,21.058540944874437,19.743929227416334,3.6142426853211393,0.5800000131130219,8.235886613012516,12.016397447819992,27.48699694636619,16.536106517950845,3.5839308188754937,115.82338361675235,13.774887935003473,16.377573296533633,52.45611701835129,9.209055990306531,26.672131550124284,7.372436809656514,2.8169699887844954,10.217865418197103,8.434610366821289,3.7642401303401334,51.789042468597124,10.1693212455611,4.900000095367432,5.311042113365625,32.053431175425985,50.71173524758862,12.502038223499046,1.256648417293419,16.316483759098723,1.046719162342419,25.486720751639268,26.633098272477948,2.2523529024790734,3.314546454022394,26.547261203138536,7.986567281628524,2.0932855759911755,6.006125980471259,15.77634345197438,27.230451996884227,10.717224504039011,4.913966809270871,5.880043899027072,17.22307586669922,20.067970531146308,32.302660297620136,12.562313305904862,2.002617793204126
