Date,ADS.DE,AD.AS,AI.PA,AIR.PA,ALV.DE,ABI.BR,ASML.AS,CS.PA,BAS.DE,BAYN.DE,BBVA.MC,SAN.MC,BMW.DE,BNP.PA,CRG.IR,BN.PA,DB1.DE,DPW.DE,DTE.DE,ENEL.MI,ENI.MI,EL.PA,FLTR.IR,RMS.PA,IBE.MC,ITX.MC,IFX.DE,INGA.AS,ISP.MI,KER.PA,OR.PA,LIN.DE,MC.PA,MBG.DE,MUV2.DE,RI.PA,PHIA.AS,SAF.PA,SAN.PA,SAP.DE,SU.PA,SIE.DE,STLA.MI,TTE.PA,DG.PA,VOW.DE
2013-01-14 00:00:00+01:00,57.312441516887475,7.570475071579517,49.06202230222093,27.225033476123173,66.77458134237325,47.72895169466011,44.157129784845466,7.156938771202224,43.002178780781264,51.84584548071683,4.766733893687411,3.612977755242562,46.947498239423794,26.83583383144284,,35.79178228249428,35.702794296034455,11.603283123766515,5.485605930967083,2.019085100605137,10.456172263956754,66.65653346211653,,208.42213342454932,2.617147026637239,17.091191893356545,5.692163023065177,4.859113494270776,0.7494318742274837,109.49110594757093,87.27354399866404,56.375789642333984,112.21804496703625,26.565575579605238,87.93410921614658,73.17907027382515,15.113100349134054,28.77014283968369,50.672127556465966,52.38994278980694,42.84552531209488,58.20785961987971,1.7316718374716722,21.75363965071831,26.92626354742908,117.24471412619064
2013-01-15 00:00:00+01:00,57.61990354348172,7.545539132503919,48.76847322827811,27.210235768999027,66.77457884044748,48.189634812155504,42.9555610208662,7.113980196045407,43.03515958027604,51.28030273670851,4.748179608565875,3.5826039208398974,46.77121120783888,26.140503854733645,,35.90941416099626,35.536952133819966,11.543411476112293,5.432626683663976,2.0085082602672903,10.456171692593614,66.77186819326354,,209.58004435967277,2.6075401589305045,17.10747940954103,5.771712513579349,4.8089016400317774,0.7506977377691137,111.82069315248026,88.12876719348836,56.375789642333984,113.49067046348526,26.85868736694308,87.1001557810571,73.90465209607102,15.050039930815645,28.6833882713667,49.89855627123929,51.17792394732665,42.475302419900245,58.030181832621544,1.7652458976834855,21.830568313598633,26.95883715115385,116.34133332128998
2013-01-16 00:00:00+01:00,58.26433428293099,7.499225073941964,48.903345163548906,27.282120161050837,65.62627832043319,48.77464247616203,42.91936363973926,7.017652737855899,43.10711782770602,51.53284485354228,4.751890514893434,3.564739241712809,46.49234468563761,25.57664233864533,,36.17725801557359,35.519801887491916,11.615257257570136,5.423242908781885,2.001663114295842,10.49975090190576,67.25089753684455,,211.37364522306478,2.603697778955895,17.111553187331978,5.770401256576944,4.723045420379569,0.743102121052792,113.90994612093715,88.94224589879374,56.375789642333984,114.86595721333039,26.7558690486079,85.68884383108593,74.73030133068644,15.055444734854515,28.817853974347983,50.098859454582865,50.05979805582549,41.9816754231701,57.6922569421995,1.716300633829585,21.870401772476548,26.922646595303,116.6424474902619
2013-01-17 00:00:00+01:00,59.283643888515186,7.476066973435984,48.92185894153107,28.039014211782842,65.17011053204197,48.71979310470143,44.03494471796662,7.06451474108964,43.6558137354572,51.83873444529273,4.8047742447836885,3.5954426908531887,47.123784278541194,26.250058395652044,,36.23698120670236,35.963940327902684,11.772637259618886,5.444434095011983,1.9805078648997236,10.578736874440729,67.37952548523315,,214.05274881093828,2.6171469112294345,17.148200761896963,5.807117337074541,4.743502488056526,0.7484190745296915,114.29819625495608,89.79747485894254,56.375789642333984,115.91282434168326,26.881710339168166,84.77470605086931,75.76028578099677,15.291475466430276,29.0477388881321,50.37859268552096,49.82080561493053,42.309475943280695,57.82464509234944,1.7595821923130384,21.870406725973815,27.157877588289345,117.24473105162824
2013-01-18 00:00:00+01:00,59.780649083224944,7.581163455975446,48.92715030793427,29.00945040152859,65.56335346186424,48.95013635967228,47.47445672531198,7.136109280538555,43.91966974055532,51.739142898605834,4.814672074948607,3.6060507752892175,47.32892250198097,26.933702787786565,,36.173639202679524,36.21364872767465,11.875274875972092,5.42778435367972,1.9599742928490984,10.548773737941353,67.36622608912128,,218.4800084286074,2.621630333129924,17.294805097696624,5.8997780016317245,4.672833722799309,0.7600657334104308,115.9067386203495,91.00728769262926,56.375789642333984,116.93913317410964,26.740523745950764,85.99357447522138,76.54843073167396,15.367147099707065,29.314485578927943,50.07468751491356,49.71837980637898,42.382751185003784,57.85947138527813,1.8323927652743324,21.76737323934288,27.26462976844332,117.70526215836809
2013-01-21 00:00:00+01:00,58.87085770567222,7.641727452529499,49.16780193913361,29.096129754898417,65.37459655282584,49.02327035818918,46.836347403443966,7.121791834453075,44.20151255967514,51.79961320265511,4.801372558566895,3.5901390282010386,47.20712394116042,26.995055218520267,,36.343754922385635,36.21173689621002,11.835928270202803,5.428994363850103,1.9394420413365183,10.516092261212002,67.45050150208274,,217.86699784460595,2.6209891487143886,17.25816002766836,5.880109555823591,4.6588853829015235,0.7641166002059907,115.05454478118492,90.86127492011713,56.375789642333984,114.08594613324718,26.445879608572262,86.1379057717829,76.28155496430844,15.343724866691698,29.403401763901943,49.940000720634444,49.863485926244934,42.60257089219001,58.08592408107752,1.8712248183271305,21.669841698281623,27.31167374380408,118.23663979482335
2013-01-22 00:00:00+01:00,58.921408524975774,7.634602120296774,49.403173703291216,29.366755870848593,65.02852662973609,49.334046704572344,47.406578753530624,7.056704551760298,43.84170913696289,51.86719406470668,4.79333277650502,3.593488966261816,47.12378489412175,26.996517098009562,,36.55369001098778,35.925811435197716,11.724740139608752,5.39932656511875,1.9425526716471717,10.491578294335547,67.9339677879787,,220.18280694908734,2.6177872595158562,17.3558905678984,5.843394372103984,4.661364570214067,0.7542423615792141,115.20397289226965,90.9864291843992,56.375789642333984,114.80437800850314,26.284743642124276,85.99356094507927,75.7394448529883,15.561739147262644,29.39039396855243,49.7569654359624,49.381243157759165,42.58714467646305,58.50050386604134,1.915315473465263,21.605282709637066,27.253770036029064,118.75033741209512
2013-01-23 00:00:00+01:00,58.875072316921695,7.565132286093828,49.65440896260225,29.307556562669646,64.69819937781227,49.64482832410641,47.139560350021334,7.021559884166972,43.85670873474605,51.721360789707994,4.750653281127152,3.589860656427848,47.71355437449782,26.676606194648265,,36.95183769289885,36.171704571428236,11.700789047602623,5.359667275809101,1.9425526071395582,10.546050948212137,68.62590368600183,,219.84225249525832,2.5928101096948377,17.45769526160209,5.897593466265432,4.58387728411988,0.7512041529519959,114.86771203641361,91.13244179604162,56.375789642333984,113.81911187118405,26.530277524138278,85.84922776150161,76.01049710196786,15.808575631458694,29.414251176847657,49.75006656733498,49.85495042722548,42.76454178616733,57.925671369307004,1.8938770093933157,21.676710530078914,27.273679790571357,120.20283717129394
2013-01-24 00:00:00+01:00,58.95931854651643,7.606100329082467,49.58564847046581,29.246241592460073,65.02853458967635,49.4035217351296,47.48804055571851,6.935643544894895,43.81772577974997,51.70001401454509,4.762715171603599,3.5990725776298262,47.56290617570319,26.615250725384524,,37.26312120006541,36.823621355098936,11.692235626390776,5.340594610497314,1.9381975116802173,10.53515807910464,69.26905040792543,,220.3871117470231,2.578080487386519,17.53506775888451,5.846017871813591,4.5060791519945695,0.7471532454995302,114.79299739004176,91.77906685134991,56.375789642333984,114.25013407315446,26.3660751092282,85.8652621733911,76.15644852227145,15.929294167848711,29.427261244433616,49.898563382951096,50.24756604144349,42.64499552900196,58.43989233729906,1.8679886017732328,21.67533737593461,27.33157405003186,120.53940297295065
2013-01-25 00:00:00+01:00,58.8287449641428,7.700509495242717,49.786637820211354,29.292760307825276,65.78358286101022,49.65946113033125,48.669246280779916,7.0254643334478235,44.771190202051045,52.82756924415206,4.814363567950345,3.6278221245368405,48.05010925175489,27.088542571440435,,37.60697429254296,37.3230484852583,11.899224809316205,5.37510806423551,1.9668191512989637,10.48612911420382,68.81662352068155,,220.40983462854064,2.614905339226163,17.408824523742496,5.790069921924775,4.553501803377921,0.7570274039463731,115.80176389659484,92.55084974393554,56.375789642333984,115.05071658753258,26.680672890915694,86.39449776833911,76.41082450961986,15.952715967902671,29.663647588996376,50.40967016839524,50.75115828439356,42.957369450865826,59.076598266425435,1.8659663575697323,21.844296158163864,27.59033182552723,121.51361660329374
