Date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,GS,HD,HON,INTC,IBM,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIS
2013-01-14 00:00:00-05:00,72.35384273964937,52.88812799912131,67.06497128049016,15.44922515871923,63.47350167659978,71.8615695515179,74.16375915938073,15.232364788147658,26.977894592713902,115.32077468094519,50.88397382480953,51.61817422738182,16.270999325023197,124.550791175679,55.284104724223894,34.70730826927875,69.775980532494,30.088102675791106,22.197484391298993,23.827746276770224,51.91230870006356,43.40374946594238,59.37704630405183,45.88416394344476,27.051654388881424,37.46255477341397,29.422075637834233,54.773451991326624,45.91373669634568
2013-01-15 00:00:00-05:00,72.53331702576057,52.35534879624099,66.33546491036104,15.086183499255572,64.17323781755886,72.0055722437838,74.60018618325182,15.279917948499275,27.094700159409655,115.06726582777154,50.95192271766835,51.72305594738913,16.282115383171817,123.93287923864372,55.009900943312886,34.76787250219265,69.3729826679582,29.997765619002696,22.312930227071597,23.861313058044466,51.878735233998015,43.26625061035156,59.57534769730627,45.90131870763876,26.716584990034242,37.27368904761729,29.531781188544123,54.99771181782552,46.172825670495776
2013-01-16 00:00:00-05:00,72.77639965600096,52.55458604687569,65.46696307637444,15.38671747843562,62.09501546104716,72.1912248900835,75.22180195023844,15.386007564905299,27.207852401792028,118.06669623263701,50.98791964921585,51.70753445662914,16.334034674503464,124.38901497977605,55.24983687169369,34.98749904399591,69.2741708202879,29.71636437024563,22.3623993332049,23.995566491768106,52.186567722429686,42.74875068664551,59.89659053238647,45.93561284640022,26.409960413049408,37.31451280115958,29.732260925290227,55.36612455140816,46.627368474754505
2013-01-17 00:00:00-05:00,73.2961726864038,52.74950613806695,64.9806737548721,15.553187358939345,62.1411267000784,72.52472499533113,76.19721410064952,15.294547756538336,27.372108175531455,118.94960006206722,51.69945145164573,52.14647827332996,16.749340223593386,125.41448044860604,55.3679216586702,35.275281844990616,69.72275284538838,29.664261042974303,22.481961128145983,24.004519271974267,52.37078367903642,42.96999931335449,60.04729649630584,46.17571039555938,26.51427881638964,37.38561052451722,29.86843554447649,55.27399847724064,47.51828876053544
2013-01-18 00:00:00-05:00,73.6065365909156,51.62331687241762,63.86129438596406,15.335731559679923,62.61877444894269,73.40767420358534,75.81697645168259,15.309182655111695,27.383062411714906,120.84214548187329,52.14318152794954,52.42228300880425,15.748164083635409,125.77027703567407,55.61163065753516,35.13138370965743,70.00405133074636,29.747643544392083,22.3995051641485,23.841181413849657,52.50989083926595,42.46750068664551,60.52716064453125,46.66877340778241,26.74502842675643,36.72464342200564,29.683093659602193,55.282027338133325,47.3410153651534
2013-01-22 00:00:00-05:00,73.82717592246257,51.50637055395603,63.67601804452055,15.426179955556044,62.027981219310675,73.43424957399628,76.20382669361337,15.22138989211566,27.299104849430215,122.35032639536769,52.45097478609682,52.84181894171172,15.692538437217525,126.18758068594386,55.46310267295175,35.09352205973643,70.38040194665936,29.817114955000353,22.448976182478997,23.843413992982086,52.53244252717377,42.048749923706055,62.56563595443751,47.44050719248104,27.15595477500975,37.00791741487743,29.743601150875442,55.506283621918584,47.718284138145144
2013-01-23 00:00:00-05:00,74.23100087271936,51.151184726052634,64.5985272471979,15.660385061114086,62.02798499447661,73.6388543045519,76.32283738720353,15.181152625901884,27.12024929343189,122.8277496037495,52.682852576019755,53.00498140255962,15.670295122602287,133.25565931870184,55.36790778085452,34.97235725731154,70.70733723612054,29.74763141980056,22.609774064553473,23.756145615572038,52.82194615119778,42.36000061035156,61.57018370514021,47.89069367682127,27.04532508630955,37.07553294167742,29.807920256431185,55.578343306324925,48.60919683348303
2013-01-24 00:00:00-05:00,74.27214676924176,51.33742863130938,64.08901420476619,14.066635654843331,62.828251204927405,73.41906872338978,76.5939787720457,15.334789300370904,27.102000959533576,122.84881873838438,53.66622952934848,53.31962220715934,15.614671364378628,132.0264494853762,55.63068165525053,35.16925403262325,70.9430160522461,29.92480398051238,22.898374605245927,23.950814246793218,53.028691927985264,42.997501373291016,61.91126027780423,48.16509047890119,27.07378114175823,37.19560597995901,29.894913971269073,55.798596706894756,49.45010707403858
2013-01-25 00:00:00-05:00,74.95646633447677,51.49770570651603,63.8883112069133,13.686552057475442,62.93720135363936,72.35798954128148,76.55429732799448,15.47379207611084,27.069146130610406,121.90676594207072,54.13393290715533,53.296324133914425,15.555336794170529,132.40493951035302,55.98105761424647,35.506249445034385,71.17112031050141,29.938714762875122,22.93135489848664,24.51468303605599,54.51373207691179,43.54375076293945,62.01436924879172,48.06219064405925,26.91572165212746,37.207267169120996,29.94409631767326,55.634422833289555,49.16829136629667
2013-01-28 00:00:00-05:00,75.25560906406925,51.220483529510076,65.20067289776168,13.653380821364117,62.23748038737048,73.96097012408566,76.70641103921704,15.477455606177493,26.999790873760144,122.06303085698957,54.12993206414955,53.52162847005536,15.603547270604913,132.79308337389745,56.148638110795915,35.396443849909424,71.5512595324422,30.02555550385176,23.083905522835018,24.577328620545796,55.423540716435795,44.44499969482422,61.77640591507169,48.16079418716562,26.97894021830736,36.940297159658,30.220233531232886,55.382150572728875,49.39101577412629
